,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
30,gradient,1.814045110701004,1.743431934170914,1.0,1000.0,0.7431659698486328,Decay,0.0001,0.01,default_top60
108,gradient,1.7866981626249854,1.7495799691454308,0.0,1.0,0.0005590915679931641,Momentum,1e-07,0.999,default_notext
20,gradient,1.820737772541897,1.7498568625102724,1.0,1000.0,3.42621111869812,Decay,0.0005,0.1,default_top160
20,gradient,1.8226174132105986,1.7525195032135954,1.0,1000.0,0.7195489406585693,Decay,0.0005,0.1,default_top60
11,gradient,1.8245152410652166,1.779193433731574,1.0,1000.0,0.13746190071105957,Decay,0.001,0.1,default_notext
30,gradient,1.948337797112298,1.9055264425311256,1.0,1000.0,0.12148213386535645,Decay,0.0001,0.01,default_notext
20,gradient,1.9551897793365545,1.9125212468183568,1.0,1000.0,0.14649605751037598,Decay,0.0005,0.1,default_notext
70,gradient,1.9085281400734937,1.989422975252551,0.0,1000.0,0.7936320304870605,Momentum,0.001,0.8,default_top60
29,gradient,2.0445149573835635,1.9962318281603304,1.0,402.0,1.62689208984375,Decay,0.0001,0.1,default_top160
29,gradient,2.045566082213017,1.9975886037350004,1.0,400.0,0.3202087879180908,Decay,0.0001,0.1,default_top60
29,gradient,2.0882079297225253,2.0483847772715307,1.0,262.0,0.03284025192260742,Decay,0.0001,0.1,default_notext
69,gradient,1.9607603357269578,2.071858159129286,0.0,1000.0,0.9042172431945801,Momentum,0.001,0.7,default_top60
37,gradient,2.1124413473981067,2.0731480340343826,1.0,1.0,0.010157108306884766,LearningRate,1e-06,,default_top160
40,gradient,2.1124413494133107,2.0731480363253945,1.0,1.0,0.0074770450592041016,Decay,1e-06,0.0001,default_top160
41,gradient,2.1124413574700998,2.0731480454848605,1.0,1.0,0.007508993148803711,Decay,1e-06,0.0005,default_top160
39,gradient,2.112441546943256,2.0731482608899205,1.0,1.0,0.0075299739837646484,Decay,1e-06,0.01,default_top160
37,gradient,2.1124416782119835,2.073148460990698,1.0,1.0,0.0015590190887451172,LearningRate,1e-06,,default_top60
40,gradient,2.112441680194111,2.0731484632390194,1.0,1.0,0.0014481544494628906,Decay,1e-06,0.0001,default_top60
41,gradient,2.1124416881186576,2.07314847222781,1.0,1.0,0.0016021728515625,Decay,1e-06,0.0005,default_top60
39,gradient,2.1124418744818474,2.073148683619066,1.0,1.0,0.0015218257904052734,Decay,1e-06,0.01,default_top60
38,gradient,2.1124431795871605,2.073150116982807,1.0,1.0,0.007534027099609375,Decay,1e-06,0.1,default_top160
38,gradient,2.1124434803278893,2.0731505051259362,1.0,1.0,0.001489877700805664,Decay,1e-06,0.1,default_top60
42,gradient,2.1124484013478178,2.0731560534120055,1.0,1.0,0.008067131042480469,Momentum,1e-06,0.7,default_top160
42,gradient,2.1124486163791523,2.0731563309364325,1.0,1.0,0.0014209747314453125,Momentum,1e-06,0.7,default_top60
43,gradient,2.1124494090597383,2.0731571990431563,1.0,1.0,0.00783085823059082,Momentum,1e-06,0.8,default_top160
43,gradient,2.112449607550507,2.073157455219923,1.0,1.0,0.001730203628540039,Momentum,1e-06,0.8,default_top60
