,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
4,gradient,1.1007680939880558,1.0430400050655289,1.0,1000.0,0.7414219379425049,Decay,0.01,0.0001,stopwords_children_50
5,gradient,1.1013005254564199,1.0430980732242006,1.0,1000.0,0.7736189365386963,Decay,0.01,0.0005,stopwords_children_50
5,gradient,1.0970520050750396,1.043116521712919,1.0,1000.0,2.1898701190948486,Decay,0.01,0.0005,stopwords_children_120
4,gradient,1.096049382219866,1.0432830690552632,1.0,1000.0,2.2124006748199463,Decay,0.01,0.0001,stopwords_children_120
9,gradient,1.095749292470976,1.04334588076992,1.0,1000.0,2.0527846813201904,Momentum,0.01,0.999,stopwords_children_120
8,gradient,1.0957489360710524,1.0433459390288224,1.0,1000.0,2.0708541870117188,Momentum,0.01,0.9,stopwords_children_120
7,gradient,1.0957485760845953,1.043345997880659,1.0,1000.0,2.2351861000061035,Momentum,0.01,0.8,stopwords_children_120
6,gradient,1.0957482161116774,1.0433460567369937,1.0,1000.0,2.429081916809082,Momentum,0.01,0.7,stopwords_children_120
1,gradient,1.095745696680856,1.0433464688585792,1.0,1000.0,2.1354498863220215,LearningRate,0.01,,stopwords_children_120
3,gradient,1.1034721797019995,1.0438306229280727,1.0,1000.0,2.1916816234588623,Decay,0.01,0.01,stopwords_children_120
0,closed-form,1.108803037108256,1.0442909437089314,,,0.0008020401000976562,,,,children_sentiment
3,gradient,1.1053395029494815,1.0445790048891368,1.0,1000.0,0.7353432178497314,Decay,0.01,0.01,stopwords_children_50
68,gradient,1.0754686573863546,1.0450828440532374,0.0,1000.0,0.22535920143127441,Decay,0.001,0.0005,only_children_square
68,gradient,1.0754686573863546,1.0450828440532374,0.0,1000.0,0.22535920143127441,Decay,0.001,0.0005,only_children_square
88,gradient,1.0996081423913313,1.045735761375905,0.0,1000.0,0.21078705787658691,Momentum,0.0001,0.8,only_children_square
88,gradient,1.0996081423913313,1.045735761375905,0.0,1000.0,0.21078705787658691,Momentum,0.0001,0.8,only_children_square
3,gradient,1.1066421352660472,1.0457829462387886,1.0,1000.0,0.14807701110839844,Decay,0.01,0.01,default_notext
2,gradient,1.1045897769667206,1.045913292555919,True,1000,0.9049391746520996,Decay,0.01,0.01,default_feeling
